timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-11 08:08:24,docker_auth_2,0.33%,1.133GiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_image_2,0.26%,576.6MiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_recommender_2,1.93%,527.2MiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_persistence_1,31.60%,508.9MiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_webui_1,96.72%,1.134GiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_recommender_1,8.18%,616.8MiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_image_1,10.53%,731.5MiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_auth_1,12.23%,790.8MiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_registry_1,0.63%,217.1MiB / 7.751GiB,4,150vus
2026-04-11 08:08:24,docker_db_1,6.51%,31.16MiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_auth_2,1.22%,1.133GiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_image_2,1.29%,576.6MiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_recommender_2,1.88%,527.2MiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_persistence_1,22.27%,491.2MiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_webui_1,35.88%,1.134GiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_recommender_1,2.75%,616.8MiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_image_1,10.95%,731.7MiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_auth_1,18.67%,790.8MiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_registry_1,0.61%,217.1MiB / 7.751GiB,4,150vus
2026-04-11 08:08:36,docker_db_1,1.91%,31.14MiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_auth_2,1.28%,1.133GiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_image_2,1.29%,576.7MiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_recommender_2,3.93%,527.2MiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_persistence_1,20.47%,491.2MiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_webui_1,41.69%,1.135GiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_recommender_1,4.46%,618MiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_image_1,10.88%,732.5MiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_auth_1,20.72%,790.7MiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_registry_1,0.96%,217.1MiB / 7.751GiB,4,150vus
2026-04-11 08:08:48,docker_db_1,1.88%,31.14MiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_auth_2,21.30%,1.133GiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_image_2,10.59%,576.9MiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_recommender_2,1.38%,530.4MiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_persistence_1,17.88%,486.5MiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_webui_1,37.65%,1.135GiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_recommender_1,1.71%,618.2MiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_image_1,0.33%,732.8MiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_auth_1,1.50%,790.7MiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_registry_1,0.86%,217.1MiB / 7.751GiB,4,150vus
2026-04-11 08:09:00,docker_db_1,1.78%,31.17MiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_auth_2,25.13%,1.134GiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_image_2,9.66%,577.3MiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_recommender_2,1.41%,530.4MiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_persistence_1,20.48%,488.7MiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_webui_1,40.38%,1.135GiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_recommender_1,2.08%,618.3MiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_image_1,0.28%,732.8MiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_auth_1,0.86%,790.8MiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_registry_1,0.74%,217.1MiB / 7.751GiB,4,150vus
2026-04-11 08:09:12,docker_db_1,2.11%,31.18MiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_auth_2,1.61%,1.134GiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_image_2,2.04%,578.1MiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_recommender_2,1.32%,530.4MiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_persistence_1,22.58%,489MiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_webui_1,36.11%,1.135GiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_recommender_1,1.53%,618.4MiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_image_1,9.96%,732.8MiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_auth_1,19.48%,790.7MiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_registry_1,0.79%,217.1MiB / 7.751GiB,4,150vus
2026-04-11 08:09:24,docker_db_1,2.07%,31.19MiB / 7.751GiB,4,150vus
2026-04-11 08:09:37,docker_auth_2,1.48%,1.134GiB / 7.751GiB,4,150vus
2026-04-11 08:09:37,docker_image_2,2.75%,578.2MiB / 7.751GiB,4,150vus
2026-04-11 08:09:37,docker_recommender_2,0.45%,530.3MiB / 7.751GiB,4,150vus
2026-04-11 08:09:37,docker_persistence_1,15.42%,488.9MiB / 7.751GiB,4,150vus
2026-04-11 08:09:37,docker_webui_1,31.64%,1.135GiB / 7.751GiB,4,150vus
2026-04-11 08:09:37,docker_recommender_1,0.61%,618.6MiB / 7.751GiB,4,150vus
2026-04-11 08:09:37,docker_image_1,11.32%,733.1MiB / 7.751GiB,4,150vus
2026-04-11 08:09:37,docker_auth_1,12.85%,790.7MiB / 7.751GiB,4,150vus
