timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-20 08:19:29,docker_webui_1,78.57%,283.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:29,docker_registry_1,9.37%,214.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:29,docker_auth_1,65.08%,304.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:29,docker_persistence_1,92.27%,343MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:29,docker_recommender_1,95.52%,261.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:29,docker_image_1,90.71%,260MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:29,docker_db_1,12.27%,75.72MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:41,docker_webui_1,190.88%,634.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:41,docker_registry_1,32.52%,198.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:41,docker_auth_1,10.40%,381.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:41,docker_persistence_1,147.14%,436.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:41,docker_recommender_1,6.52%,368.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:41,docker_image_1,7.84%,357.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:41,docker_db_1,1.86%,78.77MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:53,docker_webui_1,135.35%,815.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:53,docker_registry_1,1.16%,200.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:53,docker_auth_1,146.06%,478.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:53,docker_persistence_1,6.99%,484.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:53,docker_recommender_1,0.35%,404.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:53,docker_image_1,153.21%,498.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:19:53,docker_db_1,0.08%,79.82MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:05,docker_webui_1,123.30%,978.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:05,docker_registry_1,2.67%,201.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:05,docker_auth_1,74.40%,467.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:05,docker_persistence_1,99.95%,536.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:05,docker_recommender_1,5.36%,471MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:05,docker_image_1,139.65%,630.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:05,docker_db_1,1.59%,79.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:17,docker_webui_1,116.68%,1.026GiB / 7.751GiB,1,1_replica
2026-04-20 08:20:17,docker_registry_1,1.30%,201.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:17,docker_auth_1,122.15%,504.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:17,docker_persistence_1,91.53%,586.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:17,docker_recommender_1,32.17%,509.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:17,docker_image_1,60.27%,643.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:17,docker_db_1,2.81%,81.52MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:30,docker_webui_1,133.03%,1.029GiB / 7.751GiB,1,1_replica
2026-04-20 08:20:30,docker_registry_1,4.81%,201.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:30,docker_auth_1,71.58%,513.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:30,docker_persistence_1,60.23%,593.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:30,docker_recommender_1,17.11%,552.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:30,docker_image_1,55.97%,661.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:30,docker_db_1,1.88%,88.59MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:42,docker_webui_1,119.12%,1.068GiB / 7.751GiB,1,1_replica
2026-04-20 08:20:42,docker_registry_1,2.00%,202.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:42,docker_auth_1,108.61%,524.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:42,docker_persistence_1,49.20%,633.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:42,docker_recommender_1,37.67%,557.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:42,docker_image_1,55.12%,667.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:42,docker_db_1,2.13%,88.86MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:54,docker_webui_1,72.02%,1.088GiB / 7.751GiB,1,1_replica
2026-04-20 08:20:54,docker_registry_1,3.17%,203MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:54,docker_auth_1,26.79%,529.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:54,docker_persistence_1,61.23%,652.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:54,docker_recommender_1,4.16%,560.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:54,docker_image_1,19.70%,676.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:20:54,docker_db_1,1.43%,89.13MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:06,docker_webui_1,69.27%,1.11GiB / 7.751GiB,1,1_replica
2026-04-20 08:21:06,docker_registry_1,15.58%,206.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:06,docker_auth_1,47.38%,541MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:06,docker_persistence_1,19.05%,690.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:06,docker_recommender_1,30.43%,567.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:06,docker_image_1,9.05%,687.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:06,docker_db_1,2.09%,89.39MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:18,docker_webui_1,66.63%,1.108GiB / 7.751GiB,1,1_replica
2026-04-20 08:21:18,docker_registry_1,1.74%,210.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:18,docker_auth_1,92.61%,543.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:18,docker_persistence_1,29.27%,694.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:18,docker_recommender_1,0.93%,561.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:18,docker_image_1,32.86%,691.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:18,docker_db_1,2.04%,89.65MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:30,docker_webui_1,73.58%,1.108GiB / 7.751GiB,1,1_replica
2026-04-20 08:21:30,docker_registry_1,2.30%,210.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:30,docker_auth_1,43.28%,544.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:30,docker_persistence_1,48.98%,715.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:30,docker_recommender_1,0.32%,562.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:30,docker_image_1,14.70%,691.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:30,docker_db_1,2.17%,89.89MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:43,docker_webui_1,30.37%,1.112GiB / 7.751GiB,1,1_replica
2026-04-20 08:21:43,docker_registry_1,1.49%,210.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:43,docker_auth_1,22.54%,545.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:43,docker_persistence_1,18.68%,716.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:43,docker_recommender_1,8.21%,567.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:43,docker_image_1,14.74%,692.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:43,docker_db_1,1.55%,90.12MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:55,docker_webui_1,43.02%,1.108GiB / 7.751GiB,1,1_replica
2026-04-20 08:21:55,docker_registry_1,1.24%,211.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:55,docker_auth_1,45.48%,546.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:55,docker_persistence_1,13.61%,711.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:55,docker_recommender_1,12.07%,569.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:55,docker_image_1,11.90%,693.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:21:55,docker_db_1,1.84%,90.34MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:07,docker_webui_1,80.52%,1.108GiB / 7.751GiB,1,1_replica
2026-04-20 08:22:07,docker_registry_1,1.76%,211.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:07,docker_auth_1,22.81%,546.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:07,docker_persistence_1,22.48%,711.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:07,docker_recommender_1,57.14%,569.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:07,docker_image_1,14.91%,695.1MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:07,docker_db_1,2.02%,90.56MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:19,docker_webui_1,56.46%,1.109GiB / 7.751GiB,1,1_replica
2026-04-20 08:22:19,docker_registry_1,3.68%,211.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:19,docker_auth_1,28.69%,553.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:19,docker_persistence_1,15.60%,709MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:19,docker_recommender_1,61.23%,583.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:19,docker_image_1,27.32%,695.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:19,docker_db_1,1.71%,90.76MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:31,docker_webui_1,44.50%,1.11GiB / 7.751GiB,1,1_replica
2026-04-20 08:22:31,docker_registry_1,1.30%,211.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:31,docker_auth_1,24.93%,563.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:31,docker_persistence_1,12.49%,709.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:31,docker_recommender_1,2.91%,569.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:31,docker_image_1,7.34%,696.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:31,docker_db_1,1.78%,90.94MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:43,docker_webui_1,29.19%,1.11GiB / 7.751GiB,1,1_replica
2026-04-20 08:22:43,docker_registry_1,2.42%,212.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:43,docker_auth_1,17.08%,576.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:43,docker_persistence_1,16.07%,709.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:43,docker_recommender_1,1.50%,569.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:43,docker_image_1,18.78%,697.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:43,docker_db_1,1.80%,91.13MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:55,docker_webui_1,28.94%,1.1GiB / 7.751GiB,1,1_replica
2026-04-20 08:22:55,docker_registry_1,1.29%,212.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:55,docker_auth_1,19.10%,576.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:55,docker_persistence_1,21.70%,709.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:55,docker_recommender_1,0.75%,572.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:55,docker_image_1,10.20%,700.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:22:55,docker_db_1,2.07%,91.32MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:08,docker_webui_1,31.70%,1.1GiB / 7.751GiB,1,1_replica
2026-04-20 08:23:08,docker_registry_1,1.44%,212.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:08,docker_auth_1,25.61%,576.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:08,docker_persistence_1,53.86%,719.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:08,docker_recommender_1,8.40%,573MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:08,docker_image_1,28.72%,702.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:08,docker_db_1,1.76%,91.49MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:20,docker_webui_1,27.26%,1.1GiB / 7.751GiB,1,1_replica
2026-04-20 08:23:20,docker_registry_1,2.33%,212.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:20,docker_auth_1,14.06%,576.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:20,docker_persistence_1,14.67%,722.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:20,docker_recommender_1,7.73%,573.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:20,docker_image_1,10.41%,699.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:20,docker_db_1,2.30%,91.68MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:32,docker_webui_1,34.79%,1.1GiB / 7.751GiB,1,1_replica
2026-04-20 08:23:32,docker_registry_1,1.22%,212.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:32,docker_auth_1,29.68%,577MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:32,docker_persistence_1,17.32%,722.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:32,docker_recommender_1,14.38%,573.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:32,docker_image_1,49.27%,709.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:32,docker_db_1,1.70%,91.85MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:44,docker_webui_1,31.02%,1.1GiB / 7.751GiB,1,1_replica
2026-04-20 08:23:44,docker_registry_1,7.22%,212.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:44,docker_auth_1,60.08%,577.2MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:44,docker_persistence_1,31.29%,722.4MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:44,docker_recommender_1,3.45%,574.3MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:44,docker_image_1,9.59%,702.5MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:44,docker_db_1,1.41%,92.02MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:56,docker_webui_1,24.24%,1.1GiB / 7.751GiB,1,1_replica
2026-04-20 08:23:56,docker_registry_1,1.08%,212.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:56,docker_auth_1,13.90%,577.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:56,docker_persistence_1,11.91%,722.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:56,docker_recommender_1,3.94%,593.6MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:56,docker_image_1,5.77%,702.8MiB / 7.751GiB,1,1_replica
2026-04-20 08:23:56,docker_db_1,2.15%,92.23MiB / 7.751GiB,1,1_replica
2026-04-20 08:24:08,docker_webui_1,28.56%,1.101GiB / 7.751GiB,1,1_replica
2026-04-20 08:24:08,docker_registry_1,0.67%,212.9MiB / 7.751GiB,1,1_replica
2026-04-20 08:24:08,docker_auth_1,16.17%,577.7MiB / 7.751GiB,1,1_replica
2026-04-20 08:24:08,docker_persistence_1,26.04%,722.8MiB / 7.751GiB,1,1_replica
