timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-20 10:34:18,docker_image_1,0.28%,557.5MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_image_3,30.20%,818.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_persistence_1,14.93%,475.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_image_2,0.43%,752.8MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_recommender_3,10.71%,478.1MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_auth_2,58.16%,698.4MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_recommender_2,0.45%,589.4MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_recommender_1,1.26%,509.8MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_auth_1,0.26%,485.3MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_webui_1,34.50%,754.7MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_registry_1,1.03%,299.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:18,docker_db_1,1.27%,75.13MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_image_1,1.74%,557.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_image_3,13.59%,819.8MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_persistence_1,18.36%,475.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_image_2,1.89%,752.8MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_recommender_3,3.54%,478.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_auth_2,59.03%,691.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_recommender_2,16.99%,589.4MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_recommender_1,0.52%,509.8MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_auth_1,1.49%,485.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_webui_1,34.68%,757.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_registry_1,1.27%,300MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:30,docker_db_1,1.94%,75.15MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_image_1,1.32%,557.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_image_3,13.37%,820.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_persistence_1,14.55%,476MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_image_2,1.67%,752.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_recommender_3,2.04%,496.7MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_auth_2,24.23%,692.4MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_recommender_2,2.22%,589.5MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_recommender_1,10.51%,510.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_auth_1,1.41%,485.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_webui_1,31.74%,757.7MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_registry_1,1.06%,300MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:42,docker_db_1,1.18%,75.22MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_image_1,8.13%,557.5MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_image_3,1.21%,820.4MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_persistence_1,32.85%,476MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_image_2,1.41%,751.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_recommender_3,1.69%,496.7MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_auth_2,2.19%,692.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_recommender_2,9.17%,592.7MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_recommender_1,1.73%,509.7MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_auth_1,19.30%,486.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_webui_1,29.08%,758MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_registry_1,1.01%,300MiB / 7.751GiB,4,3_replicas
2026-04-20 10:34:54,docker_db_1,1.50%,75.18MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_image_1,11.88%,557.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_image_3,1.58%,819.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_persistence_1,17.94%,475.8MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_image_2,1.66%,750MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_recommender_3,1.50%,497.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_auth_2,1.46%,692.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_recommender_2,1.13%,591.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_recommender_1,1.89%,508.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_auth_1,13.32%,485.6MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_webui_1,41.66%,757.8MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_registry_1,1.93%,300.1MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:07,docker_db_1,1.59%,75.04MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_image_1,2.19%,558MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_image_3,11.42%,819.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_persistence_1,15.74%,475.7MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_image_2,3.21%,750MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_recommender_3,3.32%,497.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_auth_2,2.50%,692.4MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_recommender_2,1.51%,591.3MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_recommender_1,14.17%,508.7MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_auth_1,16.27%,486.4MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_webui_1,39.01%,756.3MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_registry_1,1.16%,300MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:19,docker_db_1,1.55%,75.04MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:31,docker_image_1,1.74%,557.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:31,docker_image_3,10.21%,818.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:31,docker_persistence_1,13.96%,475.5MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:31,docker_image_2,1.43%,748.2MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:31,docker_recommender_3,10.76%,497.9MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:31,docker_auth_2,60.03%,696MiB / 7.751GiB,4,3_replicas
2026-04-20 10:35:31,docker_recommender_2,1.64%,590.4MiB / 7.751GiB,4,3_replicas
