timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-14 11:01:22,docker_webui_1,118.44%,823.1MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_recommender_1,50.36%,696.6MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_auth_2,43.78%,790MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_registry_1,4.45%,253.5MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_recommender_2,13.26%,743.6MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_auth_1,5.47%,655.9MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_persistence_1,74.39%,766.6MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_image_2,42.28%,729MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_image_1,3.88%,705.9MiB / 7.751GiB,2,baseline
2026-04-14 11:01:22,docker_db_1,3.18%,105.9MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_webui_1,37.37%,823.5MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_recommender_1,5.58%,697.3MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_auth_2,65.61%,796.7MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_registry_1,0.63%,253.5MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_recommender_2,2.18%,743.6MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_auth_1,3.86%,655.8MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_persistence_1,27.42%,732.2MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_image_2,14.53%,729.5MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_image_1,1.92%,705.9MiB / 7.751GiB,2,baseline
2026-04-14 11:01:34,docker_db_1,2.19%,106.1MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_webui_1,44.59%,823.7MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_recommender_1,4.03%,697.7MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_auth_2,73.48%,796.9MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_registry_1,1.39%,253.5MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_recommender_2,1.76%,743.7MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_auth_1,1.92%,655.8MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_persistence_1,16.58%,732.4MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_image_2,13.76%,730.7MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_image_1,1.68%,705.9MiB / 7.751GiB,2,baseline
2026-04-14 11:01:47,docker_db_1,1.44%,106.2MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_webui_1,40.92%,823.7MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_recommender_1,8.91%,698.1MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_auth_2,5.48%,797.3MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_registry_1,1.26%,254.1MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_recommender_2,1.61%,743.9MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_auth_1,13.13%,656.5MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_persistence_1,17.44%,732.5MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_image_2,2.07%,730.9MiB / 7.751GiB,2,baseline
2026-04-14 11:01:59,docker_image_1,15.81%,706.4MiB / 7.751GiB,2,baseline
