timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-11 08:31:18,docker_auth_2,10.10%,1.175GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_image_2,117.21%,725.6MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_recommender_2,12.94%,557.1MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_persistence_1,21.58%,504.7MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_webui_1,69.32%,1.137GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_recommender_1,5.85%,584.1MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_image_1,2.91%,701.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_auth_1,0.94%,832.8MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_registry_1,0.91%,209.6MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:18,docker_db_1,7.70%,30.89MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_auth_2,11.64%,1.169GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_image_2,11.68%,725.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_recommender_2,1.95%,556.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_persistence_1,17.20%,471.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_webui_1,34.82%,1.137GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_recommender_1,2.30%,582.5MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_image_1,1.29%,701.9MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_auth_1,2.14%,832.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_registry_1,1.03%,209.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:30,docker_db_1,1.92%,30.88MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_auth_2,13.32%,1.157GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_image_2,9.29%,726.1MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_recommender_2,1.30%,556.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_persistence_1,20.03%,476.9MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_webui_1,33.34%,1.137GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_recommender_1,10.31%,582.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_image_1,0.32%,701.9MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_auth_1,1.32%,832.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_registry_1,0.96%,209.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:43,docker_db_1,1.44%,30.84MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_auth_2,5.85%,1.157GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_image_2,9.71%,726.6MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_recommender_2,1.16%,556.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_persistence_1,14.31%,477MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_webui_1,27.15%,1.137GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_recommender_1,2.45%,582.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_image_1,0.22%,701.9MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_auth_1,1.17%,832.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_registry_1,0.89%,209.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:31:55,docker_db_1,1.52%,30.84MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_auth_2,22.45%,1.158GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_image_2,13.84%,727.8MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_recommender_2,1.21%,556.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_persistence_1,23.60%,476.9MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_webui_1,42.29%,1.137GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_recommender_1,3.63%,582.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_image_1,1.66%,701.9MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_auth_1,1.27%,832.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_registry_1,0.73%,209.4MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:07,docker_db_1,1.63%,30.84MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_auth_2,4.93%,1.155GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_image_2,61.43%,762.7MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_recommender_2,3.54%,556.1MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_persistence_1,16.47%,480.2MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_webui_1,38.78%,1.137GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_recommender_1,0.25%,580.5MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_image_1,5.52%,702.8MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_auth_1,12.97%,831.6MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_registry_1,0.63%,209.1MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:19,docker_db_1,1.63%,30.79MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:31,docker_auth_2,0.25%,1.151GiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:31,docker_image_2,1.16%,761.8MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:31,docker_recommender_2,1.90%,555.1MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:31,docker_persistence_1,9.83%,478.8MiB / 7.751GiB,1,browse_heavy
2026-04-11 08:32:31,docker_webui_1,19.77%,1.137GiB / 7.751GiB,1,browse_heavy
