timestamp,container,cpu_percent,mem_usage,run_number,scenario
2026-04-11 09:07:42,docker_auth_2,0.86%,1.142GiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_image_2,1.22%,839.5MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_recommender_2,2.03%,548.3MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_persistence_1,13.00%,466.9MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_webui_1,34.02%,1.158GiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_recommender_1,1.76%,657.5MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_image_1,5.09%,634.2MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_auth_1,17.30%,843.4MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_registry_1,0.82%,204MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:42,docker_db_1,1.23%,29.86MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_auth_2,0.89%,1.143GiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_image_2,0.27%,838.7MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_recommender_2,1.93%,546.3MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_persistence_1,14.62%,466.2MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_webui_1,32.59%,1.158GiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_recommender_1,1.25%,655MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_image_1,5.55%,632.3MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_auth_1,49.00%,842.9MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_registry_1,0.70%,203.8MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:07:55,docker_db_1,1.41%,29.64MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_auth_2,1.10%,1.134GiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_image_2,1.51%,837.5MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_recommender_2,1.45%,545.7MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_persistence_1,13.05%,465.4MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_webui_1,20.55%,1.157GiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_recommender_1,1.23%,653.4MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_image_1,5.84%,626.8MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_auth_1,22.12%,842MiB / 7.751GiB,1,checkout_heavy
2026-04-11 09:08:07,docker_registry_1,0.62%,203.6MiB / 7.751GiB,1,checkout_heavy
